x,y,z,time,label
4701,0,0,0,des_start_0
511,0,0,0,des_start_0
1827,0,0,0,des_start_0
3582,0,0,0,des_start_0
2558,0,0,0,des_start_0
4158,0,0,0,des_start_0
60,0,0,0,des_start_0
1621,0,0,0,des_start_0
3134,0,0,0,des_start_0
2110,0,0,0,des_start_0
4702,0,0,0,des_start_0
576,0,0,0,des_start_0
1832,0,0,0,des_start_0
3583,0,0,0,des_start_0
2559,0,0,0,des_start_0
4159,0,0,0,des_start_0
61,0,0,0,des_start_0
1622,0,0,0,des_start_0
3135,0,0,0,des_start_0
2111,0,0,0,des_start_0
4703,0,0,0,des_start_0
577,0,0,0,des_start_0
1833,0,0,0,des_start_0
3648,0,0,0,des_start_0
2624,0,0,0,des_start_0
4608,0,0,0,des_start_0
62,0,0,0,des_start_0
1623,0,0,0,des_start_0
3584,0,0,0,des_start_0
2560,0,0,0,des_start_0
4928,0,0,0,des_start_0
578,0,0,0,des_start_0
1834,0,0,0,des_start_0
3649,0,0,0,des_start_0
2625,0,0,0,des_start_0
4609,0,0,0,des_start_0
63,0,0,0,des_start_0
1628,0,0,0,des_start_0
3585,0,0,0,des_start_0
2561,0,0,0,des_start_0
4929,0,0,0,des_start_0
579,0,0,0,des_start_0
1835,0,0,0,des_start_0
3650,0,0,0,des_start_0
2626,0,0,0,des_start_0
4610,0,0,0,des_start_0
512,0,0,0,des_start_0
1629,0,0,0,des_start_0
3586,0,0,0,des_start_0
2562,0,0,0,des_start_0
4930,0,0,0,des_start_0
584,0,0,0,des_start_0
1828,0,0,0,des_start_0
3651,0,0,0,des_start_0
2627,0,0,0,des_start_0
4611,0,0,0,des_start_0
513,0,0,0,des_start_0
1630,0,0,0,des_start_0
3587,0,0,0,des_start_0
2563,0,0,0,des_start_0
4931,0,0,0,des_start_0
585,0,0,0,des_start_0
1829,0,0,0,des_start_0
3656,0,0,0,des_start_0
2632,0,0,0,des_start_0
4616,0,0,0,des_start_0
514,0,0,0,des_start_0
1631,0,0,0,des_start_0
3592,0,0,0,des_start_0
2568,0,0,0,des_start_0
4936,0,0,0,des_start_0
586,0,0,0,des_start_0
1830,0,0,0,des_start_0
3657,0,0,0,des_start_0
2633,0,0,0,des_start_0
4617,0,0,0,des_start_0
515,0,0,0,des_start_0
1504,0,0,0,des_start_0
3593,0,0,0,des_start_0
2569,0,0,0,des_start_0
4937,0,0,0,des_start_0
587,0,0,0,des_start_0
1831,0,0,0,des_start_0
3658,0,0,0,des_start_0
2634,0,0,0,des_start_0
4618,0,0,0,des_start_0
520,0,0,0,des_start_0
1505,0,0,0,des_start_0
3594,0,0,0,des_start_0
2570,0,0,0,des_start_0
4938,0,0,0,des_start_0
